제품명,브랜드,카테고리,성분명
갓식스 오가닉 마사지 오일,간나나기(GANNANAGI),오일,아르간커넬오일;비타민나무오일;보검선인장씨오일;토코페롤;해바라기씨오일;로즈마리잎추출물
내추럴 S.O.S 수딩 젤,간나나기(GANNANAGI),크림/젤,"병풀잎수;라벤더꽃추출물;프로판다이올;헵틸운데실레네이트;에리스리톨;1,2-헥산다이올;부틸렌글라이콜;글리세린;마데카소사이드;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;알지닌;라벤더오일;잔탄검;다이소듐이디티에이"
내추럴 헤어&바디워시,간나나기(GANNANAGI),클렌저/워시,"병풀잎수;다이소듐코코-글루코사이드시트레이트;데실글루코사이드;글리세린;다이프로필렌글라이콜;아크릴레이트/베헤네스-25메타크릴레이트코폴리머;포타슘코코일글리시네이트;포타슘코코에이트;황금추출물;스타아니스추출물;부틸렌글라이콜;1,2-헥산다이올;라벤더오일;로즈마리잎추출물;비터오렌지잎/잔가지오일;마데카소사이드;라벤더꽃추출물;알지닌;다이소듐이디티에이"
스킨티슈 엠보싱 물티슈,간나나기(GANNANAGI),물티슈,정제수;글리세린;소듐하이알루로네이트;병풀잎수;라벤더오일;폴리글리세릴-6카프릴레이트;폴리글리세릴-3코코에이트;폴리글리세릴-4카프레이트;폴리글리세릴-6리시놀리에이트;소듐벤조에이트;에틸헥실글리세린;시트릭애씨드
올케어 데일리 로션,간나나기(GANNANAGI),로션,병풀잎수;소듐하이알루로네이트;라벤더꽃추출물;프로판다이올;카프릴릭/카프릭트라이글리세라이드;비즈왁스;글리세린;헵틸운데실레네이트;폴리글리세릴-2스테아레이트;글리세릴스테아레이트;스테아릴알코올;소듐레불리네이트;소듐아니세이트;세틸팔미테이트;솔비탄팔미테이트;세테아릴알코올;올리브오일;스위트아몬드오일;검정콩추출물;하이드로제네이티드코코넛오일;자몽추출물;마데카소사이드;라벤더오일;해바라기씨오일;로즈마리잎추출물;잔탄검
올케어 리커버 크림,간나나기(GANNANAGI),크림/젤,병풀잎수;라벤더꽃추출물;소듐하이알루로네이트;비즈왁스;카프릴릭/카프;프로판다이올;글리세린;세틸팔미테이트;솔비탄팔미테이트;폴리글리세릴-2스테아레이트;글리세릴스테아레이트;스테아릴알코올;올리브오일;스위트아몬드오일;소듐레불리네이트;소듐아니세이트;유비퀴논;하이드로제네이티드레시틴;세테아릴알코올;아이소아밀라우레이트;귀리가루;검정콩추출물;하이드로제네이티드코코넛오일;헵틸운데실레네이트;라벤더오일;마데카소사이드;해바라기씨오일;로즈마리잎추출물;잔탄검
그린스 앤 지글스 베이비 로션[라벤더향],거버(Gerber),로션,정제수;프로필렌글라이콜;글리세릴스테아레이트;미리스틸미리스테이트;스테아릴알코올;아이소프로필팔미테이트;세틸알코올;다이메티콘;알로에베라겔;마트리카리아추출물;라벤더추출물;하이드롤라이즈드실크;판테놀;토코페릴아세테이트;합성비즈왁스;레티닐팔미테이트;향료;스테아릭애씨드;메틸파라벤;테트라소듐이디티에이;솔비탄스테아레이트;프로필파라벤;부틸파라벤;벤질알코올;비에이치티;폴리솔베이트60;소듐하이드록사이드;카보머;올레익애씨드
그린스 앤 지글스 베이비 로션(오트밀향),거버(Gerber),로션,정제수;프로필렌글라이콜;글리세릴스테아레이트에스이;미리스틸미리스테이트;세틸알코올;아이소프로필팔미테이트;카놀라오일;실리카;옥수수전분;하이드롤라이즈드귀리;귀리커넬추출물;알로에베라잎즙;캐모마일꽃추출물;실크프로테인;스위트아몬드오일;당근추출물;카라멜;토코페릴아세테이트;레티닐팔미테이트;판테놀;합성비즈왁스;향료;솔비탄스테아레이트;테트라소듐이디티에이;스테아릭애씨드;카보머;폴리솔베이트80;소듐하이드록사이드;쿼터늄-15;스테아라미도프로필피지-디모늄클로라이드포스페이트
고사리손 베이비 바디워시,고사리숲(GOSARI.F),클렌저/워시,라벤더수;녹차추출물;편백잎추출물;정제수;올리브오일;코코넛야자오일;달맞이꽃씨오일;현미발효추출물;황금추출물;모란뿌리추출물;자몽씨오일;글리세린;흑설탕가루;토코페롤;귤껍질오일;라벤더오일
유아용 촉촉 립 밤,고사리숲(GOSARI.F),립케어,당근씨오일;쉐어버터;비즈왁스;레몬오일
